target,submission_id,dataset_path,drafter,temperature,example_id_nunique,new_toks,ttft_ms,tpot_ms,out_toks_per_sec
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_01-05-29_4c55336,openai/openai_humaneval,No Drafter (Autoregressive),0,30,512.0,297.1085548400879,122.58502219860164,8.15342887120799
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_01-05-29_4c55336,openai/openai_humaneval,No Drafter (Autoregressive),1,30,512.0,244.01081403096518,123.48281399572242,8.09636445828043
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_01-05-29_4c55336,openai/openai_humaneval,bigcode/tiny_starcoder_py,0,30,512.0,265.93206723531085,84.5921265765326,11.75158052457159
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_01-05-29_4c55336,openai/openai_humaneval,bigcode/tiny_starcoder_py,1,30,512.0,258.6798270543416,85.46172928479295,11.655785024798526
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_01-05-29_4c55336,openai/openai_humaneval,codellama/CodeLlama-7b-Instruct-hf,0,30,512.0,428.67663701375324,101.4862155057325,9.642754948980862
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_01-05-29_4c55336,openai/openai_humaneval,codellama/CodeLlama-7b-Instruct-hf,1,30,511.8666666666667,317.29934215545654,87.20099422090425,11.403309292736974
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_01-05-29_4c55336,openai/openai_humaneval,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,30,512.0,353.5195430119832,54.29291596543475,18.315642661042872
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_01-05-29_4c55336,openai/openai_humaneval,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,30,512.0,358.23681354522705,53.126245464799666,18.615135306906808
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,cnn_dailymail,No Drafter (Autoregressive),0,30,494.7,232.3214610417684,77.44780817232851,12.899085299067352
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,cnn_dailymail,No Drafter (Autoregressive),1,30,472.6333333333333,232.6073964436849,77.73757987872408,12.85154280689092
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,cnn_dailymail,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,30,492.7,461.3376458485921,79.34843519107346,12.420611961979704
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,cnn_dailymail,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,30,462.0,347.95308113098145,58.069087573218845,17.156837055302574
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,cnn_dailymail,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0,30,496.56666666666666,296.1089054743449,72.55759771312837,13.59430661860404
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,cnn_dailymail,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1,30,496.03333333333336,329.0356794993083,59.3431898910271,16.769740225137966
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,openai/openai_humaneval,No Drafter (Autoregressive),0,30,512.0,128.3557891845703,75.81149006315138,13.190332679387803
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,openai/openai_humaneval,No Drafter (Autoregressive),1,30,512.0,128.21263472239175,76.26928169327785,13.111232390845931
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,openai/openai_humaneval,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,30,512.0,222.63826529184976,52.79787141087807,18.84048927368552
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,openai/openai_humaneval,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,30,512.0,182.24121729532877,44.4364404008539,22.419773400219775
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,openai/openai_humaneval,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0,30,512.0,296.00097338358563,60.66045655292999,16.272820612164562
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,openai/openai_humaneval,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1,30,512.0,218.57680479685465,46.23995958320183,21.5016021249471
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-02-04_20-52-14_eb664c5,tau/scrolls,No Drafter (Autoregressive),0,30,469.1333333333333,1836.8865013122559,127.09834270030238,7.65618822095235
