target,temperature,dataset_path,submission_id,drafter_of_max_speedup,example_id_nunique,new_toks,ttft_ms,tpot_ms,out_toks_per_sec,speedup
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,0,cnn_dailymail,2025-02-04_20-52-14_eb664c5,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,496.6,296.1,72.6,13.6,1.05
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,0,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,meta-llama/Llama-3.2-1B,29,493.1,242.3,51.4,19.4,1.51
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,0,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,353.5,54.3,18.3,2.25
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,0,openai/openai_humaneval,2025-02-04_20-52-14_eb664c5,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,222.6,52.8,18.8,1.43
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,0,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,224.3,52.8,18.9,1.44
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,0,tau/scrolls,2025-02-04_20-52-14_eb664c5,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,464.4,1890.9,85.8,11.3,1.47
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,1,cnn_dailymail,2025-02-04_20-52-14_eb664c5,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,462.0,348.0,58.1,17.2,1.34
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,1,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,meta-llama/Llama-3.2-1B,29,479.0,248.5,51.3,19.4,1.52
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,1,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,358.2,53.1,18.6,2.3
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,1,openai/openai_humaneval,2025-02-04_20-52-14_eb664c5,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,182.2,44.4,22.4,1.71
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,1,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,177.2,44.7,22.3,1.72
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,1,tau/scrolls,2025-02-04_20-52-14_eb664c5,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,474.3,2059.4,65.1,15.2,1.98
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,double7/vicuna-68m,30,492.9,175.8,31.3,31.5,1.29
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,double7/vicuna-68m,30,486.3,66.9,19.7,50.0,1.09
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,openai/openai_humaneval,2025-02-06_02-07-38_ea3ed4b,No Drafter (Autoregressive),30,512.0,63.9,31.4,31.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,openai/openai_humaneval,2025-02-06_16-26-53_ab73cc7,No Drafter (Autoregressive),30,512.0,31.9,21.8,45.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,tau/scrolls,2025-02-05_03-18-59_d7c02fb,meta-llama/Llama-3.2-1B,30,469.9,991.5,36.7,26.2,1.9
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,tau/scrolls,2025-02-06_17-06-51_ab73cc7,meta-llama/Llama-3.2-1B,29,479.9,283.1,24.6,39.2,1.41
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,double7/vicuna-68m,30,477.0,150.2,33.8,29.5,1.22
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,double7/vicuna-68m,30,479.0,75.4,20.3,49.1,1.09
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,openai/openai_humaneval,2025-02-06_02-07-38_ea3ed4b,No Drafter (Autoregressive),30,506.8,63.2,29.5,33.5,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,openai/openai_humaneval,2025-02-06_16-26-53_ab73cc7,No Drafter (Autoregressive),30,512.0,31.2,22.3,44.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,tau/scrolls,2025-02-05_03-18-59_d7c02fb,meta-llama/Llama-3.2-1B,30,476.6,1007.3,38.7,25.4,1.84
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,tau/scrolls,2025-02-06_17-06-51_ab73cc7,meta-llama/Llama-3.2-1B,29,474.3,295.2,24.9,39.7,1.6
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0,cnn_dailymail,2025-02-06_02-10-28_d8c80fe,double7/vicuna-68m,16,414.9,243.0,36.2,27.4,1.43
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0,cnn_dailymail,2025-02-06_06-54-21_ab73cc7,double7/vicuna-68m,18,379.2,91.0,26.4,37.6,1.27
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,bigcode/tiny_starcoder_py,30,454.2,113.5,43.9,22.4,1.1
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,bigcode/tiny_starcoder_py,30,454.2,113.2,43.8,22.5,1.17
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,bigcode/tiny_starcoder_py,30,453.6,49.6,30.8,32.0,1.04
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,bigcode/tiny_starcoder_py,30,453.6,52.2,30.6,32.3,1.04
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0,tau/scrolls,2025-02-06_02-10-28_d8c80fe,double7/vicuna-68m,25,262.4,1566.8,56.0,17.3,1.59
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0,tau/scrolls,2025-02-06_06-54-21_ab73cc7,double7/vicuna-68m,24,262.9,484.6,41.4,23.3,1.27
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1,cnn_dailymail,2025-02-06_02-10-28_d8c80fe,double7/vicuna-68m,16,362.1,202.4,40.6,24.1,1.31
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1,cnn_dailymail,2025-02-06_06-54-21_ab73cc7,double7/vicuna-68m,18,376.9,98.4,29.5,33.8,1.15
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,bigcode/tiny_starcoder_py,30,473.6,99.7,41.2,23.8,1.21
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,bigcode/tiny_starcoder_py,30,462.0,88.0,36.3,27.2,1.39
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,470.1,119.0,28.0,35.6,1.16
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,448.6,128.4,27.6,36.0,1.17
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1,tau/scrolls,2025-02-06_02-10-28_d8c80fe,double7/vicuna-68m,25,316.2,1502.2,57.2,17.1,1.59
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1,tau/scrolls,2025-02-06_06-54-21_ab73cc7,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,24,332.2,536.0,38.6,25.6,1.41
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,cnn_dailymail,2025-02-04_18-20-41_bccb1bd,double7/vicuna-68m,30,475.0,149.7,32.2,30.8,1.48
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,cnn_dailymail,2025-02-06_06-41-29_ea3ed4b,double7/vicuna-68m,29,478.0,148.1,32.5,30.6,1.47
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,bigcode/tiny_starcoder_py,30,430.1,80.1,34.2,28.5,1.38
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,tau/scrolls,2025-02-04_18-20-41_bccb1bd,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,27,354.4,1006.0,57.0,17.3,1.36
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,tau/scrolls,2025-02-06_06-41-29_ea3ed4b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,347.1,988.1,57.6,17.1,1.37
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,cnn_dailymail,2025-02-04_18-20-41_bccb1bd,double7/vicuna-68m,30,417.8,168.2,33.8,29.3,1.42
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,cnn_dailymail,2025-02-06_06-41-29_ea3ed4b,double7/vicuna-68m,29,449.3,146.4,34.2,29.1,1.42
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,457.0,147.4,28.5,35.0,1.7
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,tau/scrolls,2025-02-04_18-20-41_bccb1bd,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,27,299.8,1006.2,45.5,21.8,1.72
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,tau/scrolls,2025-02-06_06-41-29_ea3ed4b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,315.1,997.8,43.0,22.7,1.82
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,cnn_dailymail,2025-02-05_03-44-45_d7c02fb,double7/vicuna-68m,29,475.7,168.3,28.2,34.6,1.3
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,cnn_dailymail,2025-02-06_08-19-02_ab73cc7,double7/vicuna-68m,29,479.4,65.2,17.6,55.2,1.07
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,No Drafter (Autoregressive),30,465.6,69.0,38.0,26.3,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,No Drafter (Autoregressive),30,463.6,24.4,19.6,50.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,tau/scrolls,2025-02-05_03-44-45_d7c02fb,double7/vicuna-68m,26,373.8,888.7,45.5,21.7,1.13
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,tau/scrolls,2025-02-06_08-19-02_ab73cc7,No Drafter (Autoregressive),29,374.2,221.2,22.4,44.0,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,cnn_dailymail,2025-02-05_03-44-45_d7c02fb,double7/vicuna-68m,29,398.1,139.9,31.5,31.7,1.2
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,cnn_dailymail,2025-02-06_08-19-02_ab73cc7,double7/vicuna-68m,29,436.9,108.5,18.4,54.2,1.07
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,No Drafter (Autoregressive),30,472.8,69.3,38.4,26.1,1.0
