target,dataset_path,submission_id,temperature,drafter,example_id_nunique,new_toks,ttft_ms,tpot_ms,out_toks_per_sec,speedup
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-04_20-52-14_eb664c5,0,No Drafter (Autoregressive),30,494.7,232.3,77.4,12.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-04_20-52-14_eb664c5,0,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,492.7,461.3,79.3,12.4,0.96
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-04_20-52-14_eb664c5,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,496.6,296.1,72.6,13.6,1.05
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-04_20-52-14_eb664c5,1,No Drafter (Autoregressive),30,472.6,232.6,77.7,12.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-04_20-52-14_eb664c5,1,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,462.0,348.0,58.1,17.2,1.34
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-04_20-52-14_eb664c5,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,496.0,329.0,59.3,16.8,1.3
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,0,No Drafter (Autoregressive),29,494.1,231.2,77.8,12.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,29,492.0,452.5,78.6,12.5,0.98
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,496.0,296.8,72.3,13.6,1.06
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,0,double7/vicuna-68m,29,496.0,263.8,51.5,19.3,1.5
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,0,meta-llama/Llama-3.1-8B,29,494.8,277.9,74.4,13.4,1.04
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,0,meta-llama/Llama-3.2-1B,29,493.1,242.3,51.4,19.4,1.51
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,0,meta-llama/Llama-3.2-3B,29,492.4,252.1,66.8,14.9,1.16
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,1,No Drafter (Autoregressive),29,484.2,231.9,78.1,12.8,1.0
